Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out1_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
75,75,0,0,000000000000000000000000100111100000000000000000000000001001111000000000000000000000000010011110
76,76,0,0,000000000000000000000000101000100000000000000000000000001010001000000000000000000000000010100010
77,77,0,0,000000000000000000000000100111000000000000000000000000001001110000000000000000000000000010011100
78,78,0,0,000000000000000000000000100111000000000000000000000000001001110000000000000000000000000010011100
79,79,0,0,000000000000000000000000100111000000000000000000000000001001110000000000000000000000000010011100
80,80,0,0,000000000000000000000000100111000000000000000000000000001001110000000000000000000000000010011100
81,81,0,0,000000000000000000000000100110100000000000000000000000001001101000000000000000000000000010011010
82,82,0,0,000000000000000000000000100110100000000000000000000000001001101000000000000000000000000010011010
83,83,0,0,000000000000000000000000100111000000000000000000000000001001110000000000000000000000000010011100
84,84,0,0,000000000000000000000000100110100000000000000000000000001001101000000000000000000000000010011010
85,85,0,0,000000000000000000000000100110100000000000000000000000001001101000000000000000000000000010011010
86,86,0,0,000000000000000000000000100101100000000000000000000000001001011000000000000000000000000010010110
87,87,0,0,000000000000000000000000100011100000000000000000000000001000111000000000000000000000000010001110
88,88,0,0,000000000000000000000000100001100000000000000000000000001000011000000000000000000000000010000110
89,89,0,0,000000000000000000000000100001100000000000000000000000001000011000000000000000000000000010000110
90,90,0,0,000000000000000000000000100001100000000000000000000000001000011000000000000000000000000010000110
91,91,0,0,000000000000000000000000010011000000000000000000000000000100110000000000000000000000000001001100
92,92,0,0,000000000000000000000000010010100000000000000000000000000100101000000000000000000000000001001010
93,93,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
94,94,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
95,95,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
96,96,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
97,97,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
98,98,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
99,99,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
100,100,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
101,101,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
102,102,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
103,103,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
104,104,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
105,105,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
