Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out2_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
75,75,0,0,000000000000000000000000001100110000000000000000000000000111010000000000000000000000000001000010
76,76,0,0,000000000000000000000000001100110000000000000000000000000111010000000000000000000000000001000010
77,77,0,0,000000000000000000000000001100110000000000000000000000000111010000000000000000000000000001000010
78,78,0,0,000000000000000000000000001100110000000000000000000000000111010000000000000000000000000001000010
79,79,0,0,000000000000000000000000001100110000000000000000000000000111010000000000000000000000000000111111
80,80,0,0,000000000000000000000000001101010000000000000000000000000111000100000000000000000000000000111111
81,81,0,0,000000000000000000000000001101010000000000000000000000000111000100000000000000000000000000111111
82,82,0,0,000000000000000000000000001101010000000000000000000000000111000100000000000000000000000000111111
83,83,0,0,000000000000000000000000001101010000000000000000000000000111000100000000000000000000000000111111
84,84,0,0,000000000000000000000000001101010000000000000000000000000111000100000000000000000000000000111100
85,85,0,0,000000000000000000000000001100100000000000000000000000000110111000000000000000000000000000111100
86,86,0,0,000000000000000000000000001100100000000000000000000000000110111000000000000000000000000000111100
87,87,0,0,000000000000000000000000001100100000000000000000000000000110111000000000000000000000000000111100
88,88,0,0,000000000000000000000000001100100000000000000000000000000110111000000000000000000000000000111100
89,89,0,0,000000000000000000000000001100100000000000000000000000000110111000000000000000000000000000111101
90,90,0,0,000000000000000000000000001011100000000000000000000000000110010100000000000000000000000000111101
91,91,0,0,000000000000000000000000001011100000000000000000000000000110010100000000000000000000000000111101
92,92,0,0,000000000000000000000000001011100000000000000000000000000110010100000000000000000000000000111101
93,93,0,0,000000000000000000000000001011100000000000000000000000000110010100000000000000000000000000111101
94,94,0,0,000000000000000000000000001011100000000000000000000000000110010100000000000000000000000000110100
95,95,0,0,000000000000000000000000001010100000000000000000000000000110011000000000000000000000000000110100
96,96,0,0,000000000000000000000000001010100000000000000000000000000110011000000000000000000000000000110100
97,97,0,0,000000000000000000000000001010100000000000000000000000000110011000000000000000000000000000110100
98,98,0,0,000000000000000000000000001010100000000000000000000000000110011000000000000000000000000000110100
99,99,0,0,000000000000000000000000001010100000000000000000000000000110011000000000000000000000000000101010
100,100,0,0,000000000000000000000000001011110000000000000000000000000110000100000000000000000000000000101010
101,101,0,0,000000000000000000000000001011110000000000000000000000000110000100000000000000000000000000101010
102,102,0,0,000000000000000000000000001011110000000000000000000000000110000100000000000000000000000000101010
103,103,0,0,000000000000000000000000001011110000000000000000000000000110000100000000000000000000000000101010
104,104,0,0,000000000000000000000000001011110000000000000000000000000110000100000000000000000000000000101010
105,105,0,0,000000000000000000000000001011110000000000000000000000000110000100000000000000000000000000101010
106,106,0,0,000000000000000000000000001011110000000000000000000000000110000100000000000000000000000000101010
107,107,0,0,000000000000000000000000001011110000000000000000000000000110000100000000000000000000000000101010
108,108,0,0,000000000000000000000000001011110000000000000000000000000110000100000000000000000000000000101010
109,109,0,0,000000000000000000000000001011110000000000000000000000000110000100000000000000000000000000110000
110,110,0,0,000000000000000000000000001010110000000000000000000000000101110100000000000000000000000000110000
111,111,0,0,000000000000000000000000001010110000000000000000000000000101110100000000000000000000000000110000
112,112,0,0,000000000000000000000000001010110000000000000000000000000101110100000000000000000000000000110000
113,113,0,0,000000000000000000000000001010110000000000000000000000000101110100000000000000000000000000110000
114,114,0,0,000000000000000000000000001010110000000000000000000000000101110100000000000000000000000000110000
115,115,0,0,000000000000000000000000001010110000000000000000000000000101110100000000000000000000000000110000
116,116,0,0,000000000000000000000000001010110000000000000000000000000101110100000000000000000000000000110000
117,117,0,0,000000000000000000000000001010110000000000000000000000000101110100000000000000000000000000110000
118,118,0,0,000000000000000000000000001010110000000000000000000000000101110100000000000000000000000000110000
119,119,0,0,000000000000000000000000001010110000000000000000000000000101110100000000000000000000000000110101
120,120,0,0,000000000000000000000000001001100000000000000000000000000101110100000000000000000000000000110101
121,121,0,0,000000000000000000000000001001100000000000000000000000000101110100000000000000000000000000110101
122,122,0,0,000000000000000000000000001001100000000000000000000000000101110100000000000000000000000000110101
123,123,0,0,000000000000000000000000001001100000000000000000000000000101110100000000000000000000000000110101
124,124,0,0,000000000000000000000000001001100000000000000000000000000101110100000000000000000000000000110101
125,125,0,0,000000000000000000000000001001100000000000000000000000000101110100000000000000000000000000110101
126,126,0,0,000000000000000000000000001001100000000000000000000000000101110100000000000000000000000000110101
127,127,0,0,000000000000000000000000001001100000000000000000000000000101110100000000000000000000000000110101
128,128,0,0,000000000000000000000000001001100000000000000000000000000101110100000000000000000000000000110101
129,129,0,0,000000000000000000000000001001100000000000000000000000000101110100000000000000000000000000110110
130,130,0,0,000000000000000000000000001001110000000000000000000000000101111000000000000000000000000000110110
131,131,0,0,000000000000000000000000001001110000000000000000000000000101111000000000000000000000000000110110
132,132,0,0,000000000000000000000000001001110000000000000000000000000101111000000000000000000000000000110110
133,133,0,0,000000000000000000000000001001110000000000000000000000000101111000000000000000000000000000110110
134,134,0,0,000000000000000000000000001001110000000000000000000000000101111000000000000000000000000000110011
135,135,0,0,000000000000000000000000001010010000000000000000000000000110010100000000000000000000000000110011
136,136,0,0,000000000000000000000000001010010000000000000000000000000110010100000000000000000000000000110011
137,137,0,0,000000000000000000000000001010010000000000000000000000000110010100000000000000000000000000110011
138,138,0,0,000000000000000000000000001010010000000000000000000000000110010100000000000000000000000000110011
139,139,0,0,000000000000000000000000001010010000000000000000000000000110010100000000000000000000000000101011
140,140,0,0,000000000000000000000000001010110000000000000000000000000110011100000000000000000000000000101011
141,141,0,0,000000000000000000000000001010110000000000000000000000000110011100000000000000000000000000101011
142,142,0,0,000000000000000000000000001010110000000000000000000000000110011100000000000000000000000000101011
143,143,0,0,000000000000000000000000001010110000000000000000000000000110011100000000000000000000000000101011
144,144,0,0,000000000000000000000000001010110000000000000000000000000110011100000000000000000000000000011100
145,145,0,0,000000000000000000000000001100000000000000000000000000000111000100000000000000000000000000011100
146,146,0,0,000000000000000000000000001100000000000000000000000000000111000100000000000000000000000000011100
147,147,0,0,000000000000000000000000001100000000000000000000000000000111000100000000000000000000000000011100
148,148,0,0,000000000000000000000000001100000000000000000000000000000111000100000000000000000000000000011100
